app_id,id,unix_time,thumbs_up,minutes_played,useful_score,text,dt,len,hours_played
730,193446821,1745455860,1,4762,0.5,game gud,2025-04-24 00:51:00+00:00,8.0,79.36666666666666
730,193446343,1745455141,1,226,0.5,very goot,2025-04-24 00:39:01+00:00,9.0,3.7666666666666666
730,193445720,1745454246,1,31346,0.5,"I'm glad to see the bugs are getting worked out but I wish the devs would put a little more effort into their game. Despite what some have said online, I think CS2 really has the potential to be the definitive best cs game. If you are looking to build aim and game sense experience, I would recommend Valorant or some other game more welcoming to new players. If you are looking for a technical shooter with a high skill ceiling or you're just a gambler, I would recommend that you at least give it a try.",2025-04-24 00:24:06+00:00,505.0,522.4333333333333
730,193445598,1745454060,0,19211,0.4761904776096343,dead game,2025-04-24 00:21:00+00:00,9.0,320.18333333333334
730,193445049,1745453260,0,2662,0.5,"this game phase is :   1. WallHacker Beg for more report from the other player  2. confess himself as a cheater, dont have to caught and suspicious anymore  3. getting trashtalk by a cheater that i dont know why he think he's proud to be cheating  4. AI anticheat??? my ass",2025-04-24 00:07:40+00:00,273.0,44.36666666666667
730,193444773,1745452855,1,73504,0.5,"may develop several addictions, but its fun.",2025-04-24 00:00:55+00:00,44.0,1225.0666666666666
730,193444733,1745452787,1,73153,0.5,its aight,2025-04-23 23:59:47+00:00,9.0,1219.2166666666667
730,193444400,1745452285,1,26202,0.5,it gave me cancer so i can die quicker,2025-04-23 23:51:25+00:00,38.0,436.7
730,193444244,1745452022,1,11745,0.5,Most matches are enjoyable,2025-04-23 23:47:02+00:00,26.0,195.75
730,193443680,1745451232,0,32106,0.5238095521926879,"If you think playing this game will bring you any enjoyment, you’re mistaken. Once you start, you feel the full depth of disappointment that online competitive shooters can deliver—where the game stops being a place for rest, fun, or relaxation and instead becomes a leech, draining every ounce of your energy while constantly tempting you to jump into just one more match. It’s like hard drugs: it’s far better never to start than to struggle to quit later.",2025-04-23 23:33:52+00:00,458.0,535.1
730,193443611,1745451118,1,62943,0.5,game is good for pvp they need to fox the pistols,2025-04-23 23:31:58+00:00,49.0,1049.05
730,193443561,1745451034,1,966,0.5,Love the scout-spinbotters,2025-04-23 23:30:34+00:00,26.0,16.1
